Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,307.100006,313.000000,304.799988,311.250000,308.810730,161753
2023-02-07,313.000000,316.299988,300.100006,305.350006,302.956970,196477
2023-02-08,309.600006,310.000000,304.299988,306.299988,303.899506,77931
2023-02-09,307.850006,330.000000,305.000000,327.000000,324.437317,497733
2023-02-10,326.000000,335.500000,312.549988,315.250000,312.779388,668190
2023-02-13,321.899994,323.450012,314.600006,316.000000,313.523499,226585
2023-02-14,314.000000,319.000000,309.450012,312.549988,310.100525,106077
2023-02-15,309.700012,315.500000,308.000000,312.750000,310.298981,120303
2023-02-16,315.600006,316.899994,309.799988,313.149994,310.695831,78063
2023-02-17,312.850006,315.149994,310.000000,313.799988,311.340729,87126
2023-02-20,315.799988,327.750000,312.500000,314.049988,311.588776,169950
2023-02-21,314.950012,338.500000,314.100006,331.600006,329.001251,729367
2023-02-22,331.299988,331.299988,317.149994,319.000000,316.500000,436410
2023-02-23,315.799988,329.700012,315.149994,317.799988,317.799988,380878
2023-02-24,317.799988,319.899994,312.299988,314.649994,314.649994,234169
2023-02-27,313.000000,316.549988,305.000000,306.450012,306.450012,199271
2023-02-28,307.600006,319.399994,305.500000,315.149994,315.149994,328005
2023-03-01,311.000000,317.350006,308.450012,310.350006,310.350006,111327
2023-03-02,312.000000,312.649994,307.500000,309.799988,309.799988,242260
2023-03-03,312.600006,321.500000,309.049988,319.750000,319.750000,285806
2023-03-06,320.399994,334.399994,318.000000,325.049988,325.049988,399746
2023-03-08,338.000000,390.049988,335.100006,390.049988,390.049988,7716384
2023-03-09,394.799988,406.200012,377.250000,390.299988,390.299988,8427892
2023-03-10,380.000000,388.750000,371.299988,375.500000,375.500000,1122109
2023-03-13,375.000000,375.000000,358.000000,360.549988,360.549988,649297
2023-03-14,365.000000,372.850006,361.200012,366.299988,366.299988,608902
2023-03-15,369.000000,375.000000,363.000000,370.700012,370.700012,373499
2023-03-16,372.299988,380.000000,361.600006,376.799988,376.799988,329921
2023-03-17,377.600006,386.649994,372.299988,380.799988,380.799988,590498
2023-03-20,385.000000,385.549988,366.350006,379.700012,379.700012,293818
2023-03-21,385.000000,385.000000,372.049988,380.299988,380.299988,347227
2023-03-22,382.299988,394.600006,379.899994,387.399994,387.399994,560983
2023-03-23,388.600006,394.399994,383.600006,389.000000,389.000000,304959
2023-03-24,388.500000,390.000000,374.500000,385.500000,385.500000,414811
